USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
namananand        6376   0.0  0.0 435304880   1408   ??  S     8:48PM   0:00.05 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
namananand        6374   0.0  0.0 435349136   3968   ??  S     8:48PM   0:00.51 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
root              6375   0.0  0.0 435301648   1168   ??  Ss    8:48PM   0:00.03 /usr/libexec/seputil --daemonize-reseed
root              6366   0.0  0.0 435310176   2352   ??  Ss    8:31PM   0:00.03 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
root              6361   0.0  0.0 435340304   2688   ??  Ss    8:31PM   0:00.10 /System/Library/CoreServices/osanalyticshelper server-init
_captiveagent     6359   0.0  0.0 435341488   3584   ??  Ss    8:31PM   0:00.29 /usr/libexec/captiveagent
namananand        6358   0.0  0.1 435344688   4336   ??  S     8:31PM   0:00.23 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
root              6356   0.0  0.0 435305840   1376   ??  Ss    8:31PM   0:00.02 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root              6354   0.0  0.0 435341840   2304   ??  Ss    8:31PM   0:00.04 /usr/libexec/sandboxd
root              6353   0.0  0.0 435304384   1920   ??  Ss    8:31PM   0:00.02 /usr/libexec/keybagd -t 15
namananand        6350   0.0  0.0 435305680    256   ??  S     8:31PM   0:00.21 /System/Library/PrivateFrameworks/IMTransferServices.framework/IMTransferAgent.app/Contents/MacOS/IMTransferAgent
root              6349   0.0  0.0 435340784   2464   ??  Ss    8:31PM   0:00.07 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
root              6348   0.0  0.0 435341664   3488   ??  Ss    8:31PM   0:00.66 /usr/libexec/nesessionmanager
namananand        6345   0.0  0.0 435347424   4112   ??  S     8:26PM   0:00.42 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
namananand        6343   0.0  0.1 435361776   6096   ??  S     8:26PM   0:01.17 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
namananand        6342   0.0  0.0 435354096   4160   ??  S     8:26PM   0:00.34 /usr/libexec/secinitd
namananand        6341   0.0  0.0 435345520   3888   ??  S     8:26PM   0:00.32 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
namananand        6337   0.0  0.0 435353696   3632   ??  Ss    8:26PM   0:00.10 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
namananand        6336   0.0  0.0 435354752   4176   ??  S     8:26PM   0:00.44 /usr/libexec/mlhostd
namananand        6335   0.0  0.1 439814816   6080   ??  S     8:26PM   0:00.81 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
